2025-08-20 14:21:06.734 21322-24709 System.err              com.zhiliaoapp.musically             W  Caused by: com.ttnet.org.chromium.net.impl.NetworkExceptionImpl: :0|Exception in CronetUrlRequest: net::ERR_NAME_NOT_RESOLVED, ip=:0, details={"has_upload":true,"is_pending":false,"load_flags":0,"load_state":3,"method":"POST","net_error":-105,"network_isolation_key":"null null","status":"FAILED","traffic_annotation":77012883,"traffic_path":"default","url":"https://hotapi-va.tiktokv.com/api/neptune/v3/sdk/PackLiveSDK?user_id=0&webcast_sdk_version=3120&webcast_language=en&webcast_locale=en_US&current_network_quality_info=%7B%22tcp_rtt%22%3A395%2C%22quic_rtt%22%3A395%2C%22http_rtt%22%3A880%2C%22downstream_throughput_kbps%22%3A1400%2C%22quic_send_loss_rate%22%3A-1%2C%22quic_receive_loss_rate%22%3A-1%2C%22net_effective_connection_type%22%3A2%2C%22video_download_speed%22%3A0%7D&iid=7489862878762600193&device_id=7489861672900101648&ac=WIFI&channel=samsung_preload&aid=1233&app_name=musical_ly&version_code=320100&version_name=32.1.0&device_platform=android&os=android&ab_version=32.1.0&ssmix=a&device_type=SM-A055F&device_brand=samsung&language=en&os_api=34&os_version=14&openudid=635b82d3dea1d6fb&manifest_version_code=2023201000&resolution=720*1451&dpi=300&update_version_code=2023201000&_rticket=1755681651940&is_pad=0&current_region=TJ&app_type=normal&sys_region=US&timezone_name=Asia%2FDushanbe&residence=TJ&app_language=en&ac2=wifi5g&uoo=0&op_region=TJ&timezone_offset=18000&build_number=32.1.0&host_abi=arm64-v8a&locale=en&region=US&ts=1755681651&cdid=a3f35bec-5603-4743-ab6b-c3821b608e03","url_chain":["https://hotapi-va.tiktokv.com/api/neptune/v3/sdk/PackLiveSDK?user_id=0&webcast_sdk_version=3120&webcast_language=en&webcast_locale=en_US&current_network_quality_info=%7B%22tcp_rtt%22%3A395%2C%22quic_rtt%22%3A395%2C%22http_rtt%22%3A880%2C%22downstream_throughput_kbps%22%3A1400%2C%22quic_send_loss_rate%22%3A-1%2C%22quic_receive_loss_rate%22%3A-1%2C%22net_effective_connection_type%22%3A2%2C%22video_download_speed%22%3A0%7D&iid=7489862878762600193&device_id=7489861672900101648&ac=WIFI&channel=samsung_preload&aid=1233&app_name=musical_ly&version_code=320100&version_name=32.1.0&device_platform=android&os=android&ab_version=32.1.0&ssmix=a&device_type=SM-A055F&device_brand=samsung&language=en&os_api=34&os_version=14&openudid=635b82d3dea1d6fb&manifest_version_code=2023201000&resolution=720*1451&dpi=300&update_version_code=2023201000&_rticket=1755681651940&is_pad=0&current_region=TJ&app_type=normal&sys_region=US&timezone_name=Asia%2FDushanbe&residence=TJ&app_language=en&ac2=wifi5g&uoo=0&op_region=TJ&timezone_offset=18000&build_number=32.1.0&host_abi=arm64-v8a&locale=en&region=US&ts=1755681651&cdid=a3f35bec-5603-4743-ab6b-c3821b608e03","https://hotapi16-normal-alisg.tiktokv.com/api/neptune/v3/sdk/PackLiveSDK?user_id=0&webcast_sdk_version=3120&webcast_language=en&webcast_locale=en_US&current_network_quality_info=%7B%22tcp_rtt%22%3A395%2C%22quic_rtt%22%3A395%2C%22http_rtt%22%3A880%2C%22downstream_throughput_kbps%22%3A1400%2C%22quic_send_loss_rate%22%3A-1%2C%22quic_receive_loss_rate%22%3A-1%2C%22net_effective_connection_type%22%3A2%2C%22video_download_speed%22%3A0%7D&iid=7489862878762600193&device_id=7489861672900101648&ac=WIFI&channel=samsung_preload&aid=1233&app_name=musical_ly&version_code=320100&version_name=32.1.0&device_platform=android&os=android&ab_version=32.1.0&ssmix=a&device_type=SM-A055F&device_brand=samsung&language=en&os_api=34&os_version=14&openudid=635b82d3dea1d6fb&manifest_version_code=2023201000&resolution=720*1451&dpi=300&update_version_code=2023201000&_rticket=1755681651940&is_pad=0&current_region=TJ&app_type=normal&sys_region=US&timezone_name=Asia%2FDushanbe&residence=TJ&app_language=en&ac2=wifi5g&uoo=0&op_region=TJ&timezone_offset=18000&build_number=32.1.0&host_abi=arm64-v8a&locale=en&region=US&ts=1755681651&cdid=a3f35bec-5603-4743-ab6b-c3821b608e03"]}, attempts=  result:-105 , dns=14735, connect=0, ssl=-1, send=-1, proxy=-1, wait=-1, receive=-1, total=-1, reused=0, cached=0, response_content_len=0, total_bytes=0, is_proxy=1, QuicStreamError=0, QuicCloseSource=0, H2ProtocolError=-1, RFC
2025-08-20 14:21:09.467  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔌 Создание ЕДИНОГО WebSocket соединения: wss://localhost/ws
2025-08-20 14:21:09.483  4632-4632  Capacitor/Console       com.autobid.tj                       E  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket ошибка: [object Event]
2025-08-20 14:21:09.483  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket соединение закрыто
2025-08-20 14:21:09.483  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔄 Переподключение WebSocket (попытка 4/5)
2025-08-20 14:21:13.273  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔌 Создание нового WebSocket соединения: wss://localhost/ws
2025-08-20 14:21:13.274  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔌 Создание нового WebSocket соединения: wss://localhost/ws
2025-08-20 14:21:13.281  4632-4632  Capacitor/Console       com.autobid.tj                       E  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: WebSocket ошибка: [object Event]
2025-08-20 14:21:13.294  4632-4632  Capacitor/Console       com.autobid.tj                       E  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: WebSocket ошибка: [object Event]
2025-08-20 14:21:13.480  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔌 Создание ЕДИНОГО WebSocket соединения: wss://localhost/ws
2025-08-20 14:21:13.518  4632-4632  Capacitor/Console       com.autobid.tj                       E  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket ошибка: [object Event]
2025-08-20 14:21:13.519  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket соединение закрыто
2025-08-20 14:21:13.521  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔄 Переподключение WebSocket (попытка 5/5)
2025-08-20 14:21:18.524  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: 🔌 Создание ЕДИНОГО WebSocket соединения: wss://localhost/ws
2025-08-20 14:21:18.579  4632-4632  Capacitor/Console       com.autobid.tj                       E  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket ошибка: [object Event]
2025-08-20 14:21:18.580  4632-4632  Capacitor/Console       com.autobid.tj                       I  File: https://localhost/assets/index-Bz2R4sSa.js - Line 363 - Msg: ❌ WebSocket соединение закрыто
